YEAR,GEO_ID,NAME,S1701_C03_001E
2013,1400000US36005002702,"Census Tract 27.02, Bronx County, New York",52.5
2013,1400000US36047000100,"Census Tract 1, Kings County, New York",16.8
2013,1400000US36047000200,"Census Tract 2, Kings County, New York",35.7
2013,1400000US36047000301,"Census Tract 3.01, Kings County, New York",12.4
2013,1400000US36047000501,"Census Tract 5.01, Kings County, New York",11.1
2013,1400000US36047000502,"Census Tract 5.02, Kings County, New York",5.9
2013,1400000US36047000700,"Census Tract 7, Kings County, New York",4.8
2013,1400000US36047000900,"Census Tract 9, Kings County, New York",7.8
2013,1400000US36047001100,"Census Tract 11, Kings County, New York",8.4
2013,1400000US36047001300,"Census Tract 13, Kings County, New York",35
2013,1400000US36047001500,"Census Tract 15, Kings County, New York",28.8
2013,1400000US36047002000,"Census Tract 20, Kings County, New York",14.8
2013,1400000US36047002100,"Census Tract 21, Kings County, New York",5.1
2013,1400000US36047002200,"Census Tract 22, Kings County, New York",28.4
2013,1400000US36047002300,"Census Tract 23, Kings County, New York",46.5
2013,1400000US36047002901,"Census Tract 29.01, Kings County, New York",67.8
2013,1400000US36047003000,"Census Tract 30, Kings County, New York",9.3
2013,1400000US36047003100,"Census Tract 31, Kings County, New York",4.2
2013,1400000US36047003300,"Census Tract 33, Kings County, New York",18.8
2013,1400000US36047003400,"Census Tract 34, Kings County, New York",14
2013,1400000US36047003500,"Census Tract 35, Kings County, New York",8.2
2013,1400000US36047003600,"Census Tract 36, Kings County, New York",9.9
2013,1400000US36047003700,"Census Tract 37, Kings County, New York",12.3
2013,1400000US36047003800,"Census Tract 38, Kings County, New York",13.2
2013,1400000US36047003900,"Census Tract 39, Kings County, New York",16.5
2013,1400000US36047004100,"Census Tract 41, Kings County, New York",9.9
2013,1400000US36047004300,"Census Tract 43, Kings County, New York",7.7
2013,1400000US36047004400,"Census Tract 44, Kings County, New York",6.3
2013,1400000US36047004500,"Census Tract 45, Kings County, New York",3
2013,1400000US36047004600,"Census Tract 46, Kings County, New York",11.8
2013,1400000US36047004700,"Census Tract 47, Kings County, New York",8.4
2013,1400000US36047004900,"Census Tract 49, Kings County, New York",5.9
2013,1400000US36047005000,"Census Tract 50, Kings County, New York",3.1
2013,1400000US36047005100,"Census Tract 51, Kings County, New York",3.9
2013,1400000US36047005201,"Census Tract 52.01, Kings County, New York",29.9
2013,1400000US36047005202,"Census Tract 52.02, Kings County, New York",6
2013,1400000US36047005300,"Census Tract 53, Kings County, New York",21.9
2013,1400000US36047005400,"Census Tract 54, Kings County, New York",13.6
2013,1400000US36047005601,"Census Tract 56.01, Kings County, New York",11.2
2013,1400000US36047005602,"Census Tract 56.02, Kings County, New York",4.8
2013,1400000US36047005800,"Census Tract 58, Kings County, New York",17.3
2013,1400000US36047005900,"Census Tract 59, Kings County, New York",26.1
2013,1400000US36047006000,"Census Tract 60, Kings County, New York",7.6
2013,1400000US36047006200,"Census Tract 62, Kings County, New York",21
2013,1400000US36047006300,"Census Tract 63, Kings County, New York",8.9
2013,1400000US36047006400,"Census Tract 64, Kings County, New York",12.9
2013,1400000US36047006500,"Census Tract 65, Kings County, New York",9.6
2013,1400000US36047006600,"Census Tract 66, Kings County, New York",13.6
2013,1400000US36047006700,"Census Tract 67, Kings County, New York",3.7
2013,1400000US36047006800,"Census Tract 68, Kings County, New York",27.8
2013,1400000US36047006900,"Census Tract 69, Kings County, New York",6.9
2013,1400000US36047007000,"Census Tract 70, Kings County, New York",13.1
2013,1400000US36047007100,"Census Tract 71, Kings County, New York",33.2
2013,1400000US36047007200,"Census Tract 72, Kings County, New York",38.5
2013,1400000US36047007400,"Census Tract 74, Kings County, New York",30.4
2013,1400000US36047007500,"Census Tract 75, Kings County, New York",2
2013,1400000US36047007600,"Census Tract 76, Kings County, New York",32.7
2013,1400000US36047007700,"Census Tract 77, Kings County, New York",5.7
2013,1400000US36047007800,"Census Tract 78, Kings County, New York",26.4
2013,1400000US36047008000,"Census Tract 80, Kings County, New York",24.5
2013,1400000US36047008200,"Census Tract 82, Kings County, New York",30
2013,1400000US36047008400,"Census Tract 84, Kings County, New York",32.7
2013,1400000US36047008500,"Census Tract 85, Kings County, New York",49.4
2013,1400000US36047008800,"Census Tract 88, Kings County, New York",17.3
2013,1400000US36047009000,"Census Tract 90, Kings County, New York",35.4
2013,1400000US36047009200,"Census Tract 92, Kings County, New York",31.8
2013,1400000US36047009400,"Census Tract 94, Kings County, New York",34
2013,1400000US36047009600,"Census Tract 96, Kings County, New York",25.6
2013,1400000US36047009800,"Census Tract 98, Kings County, New York",38.8
2013,1400000US36047010000,"Census Tract 100, Kings County, New York",36.7
2013,1400000US36047010100,"Census Tract 101, Kings County, New York",23.1
2013,1400000US36047010200,"Census Tract 102, Kings County, New York",19.1
2013,1400000US36047010400,"Census Tract 104, Kings County, New York",34.4
2013,1400000US36047010600,"Census Tract 106, Kings County, New York",43.7
2013,1400000US36047010800,"Census Tract 108, Kings County, New York",40.7
2013,1400000US36047011000,"Census Tract 110, Kings County, New York",31.2
2013,1400000US36047011200,"Census Tract 112, Kings County, New York",31.5
2013,1400000US36047011400,"Census Tract 114, Kings County, New York",40.8
2013,1400000US36047011600,"Census Tract 116, Kings County, New York",29.6
2013,1400000US36047011700,"Census Tract 117, Kings County, New York",11.7
2013,1400000US36047011800,"Census Tract 118, Kings County, New York",30.6
2013,1400000US36047011900,"Census Tract 119, Kings County, New York",9.7
2013,1400000US36047012000,"Census Tract 120, Kings County, New York",43.7
2013,1400000US36047012100,"Census Tract 121, Kings County, New York",8
2013,1400000US36047012200,"Census Tract 122, Kings County, New York",33.5
2013,1400000US36047012600,"Census Tract 126, Kings County, New York",42.9
2013,1400000US36047012700,"Census Tract 127, Kings County, New York",23.4
2013,1400000US36047012801,"Census Tract 128.01, Kings County, New York",16.1
2013,1400000US36047012901,"Census Tract 129.01, Kings County, New York",13.9
2013,1400000US36047012902,"Census Tract 129.02, Kings County, New York",14.9
2013,1400000US36047013000,"Census Tract 130, Kings County, New York",22.4
2013,1400000US36047013100,"Census Tract 131, Kings County, New York",11.4
2013,1400000US36047013200,"Census Tract 132, Kings County, New York",15
2013,1400000US36047013300,"Census Tract 133, Kings County, New York",6.8
2013,1400000US36047013400,"Census Tract 134, Kings County, New York",13.4
2013,1400000US36047013500,"Census Tract 135, Kings County, New York",4.2
2013,1400000US36047013600,"Census Tract 136, Kings County, New York",16.2
2013,1400000US36047013700,"Census Tract 137, Kings County, New York",14
2013,1400000US36047013800,"Census Tract 138, Kings County, New York",21.3
2013,1400000US36047013900,"Census Tract 139, Kings County, New York",9.8
2013,1400000US36047014000,"Census Tract 140, Kings County, New York",8.8
2013,1400000US36047014100,"Census Tract 141, Kings County, New York",3.1
2013,1400000US36047014200,"Census Tract 142, Kings County, New York",19.9
2013,1400000US36047014300,"Census Tract 143, Kings County, New York",19
2013,1400000US36047014500,"Census Tract 145, Kings County, New York",17.3
2013,1400000US36047014700,"Census Tract 147, Kings County, New York",18.1
2013,1400000US36047014800,"Census Tract 148, Kings County, New York",0.8
2013,1400000US36047014900,"Census Tract 149, Kings County, New York",6
2013,1400000US36047015000,"Census Tract 150, Kings County, New York",4.5
2013,1400000US36047015100,"Census Tract 151, Kings County, New York",5
2013,1400000US36047015200,"Census Tract 152, Kings County, New York",8.4
2013,1400000US36047015300,"Census Tract 153, Kings County, New York",3.6
2013,1400000US36047015500,"Census Tract 155, Kings County, New York",3.7
2013,1400000US36047015700,"Census Tract 157, Kings County, New York",2.3
2013,1400000US36047015900,"Census Tract 159, Kings County, New York",3.7
2013,1400000US36047016000,"Census Tract 160, Kings County, New York",21.9
2013,1400000US36047016100,"Census Tract 161, Kings County, New York",5.9
2013,1400000US36047016200,"Census Tract 162, Kings County, New York",8.5
2013,1400000US36047016300,"Census Tract 163, Kings County, New York",11.4
2013,1400000US36047016400,"Census Tract 164, Kings County, New York",7
2013,1400000US36047016500,"Census Tract 165, Kings County, New York",6.4
2013,1400000US36047016600,"Census Tract 166, Kings County, New York",6.1
2013,1400000US36047016700,"Census Tract 167, Kings County, New York",8.5
2013,1400000US36047016800,"Census Tract 168, Kings County, New York",10.2
