station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,travel_time_source,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_missing_flag,population_missing_flag,travel_time_to_midtown,log_travel_time,inv_travel_time,num_transfer_lines,transfer_score,log_service_intensity,combined_service,jobs_density_interaction,log_jobs_density_interaction,walkability_index,pop_poverty_interaction,log_pop_poverty_interaction,accessibility_demand
293,Van Cortlandt Park-242 St (1),Bronx,4830.149734,8.482839758,FALSE,43.33,0,0.666666222,8.305731145,9.969415733,1.576416256,0.693147181,2.079690456,2.48490665,39.25,39.25,1,observed_gtfs,3.695110004,0,,,688.835015,-22.10091241,1,0,39.25,3.695110004,0.02484472,1,43.33,3.791661649,54.33,86430652,18.27485295,3.656106712,,,17.11391342
294,238 St (1),Bronx,3132.381531,8.049868062,FALSE,46.33,0,0.79999936,8.617038526,10.57732448,2.03586765,1.609437912,1.914675976,2.48490665,37.5,37.5,1,observed_gtfs,3.650658241,0,,,2229.514895,17.71182914,1,0,37.5,3.650658241,0.025974026,1,46.33,3.857144344,57.33,216728616,19.19415652,3.950543626,,,57.90947779
295,231 St (1),Bronx,6068.436623,8.711021066,FALSE,45.67,0,0.999999,7.997326823,10.92967251,2.04220241,1.386294361,2.033462965,2.833213344,36,36,1,observed_gtfs,3.610917913,0,,,4397.436036,-69.40950966,1,0,36,3.610917913,0.027027027,1,45.67,3.84310156,61.67,165858404,18.926645,4.075665375,,,118.8496226
296,Marble Hill-225 St (1),Manhattan,3371.797896,8.123497915,FALSE,46.33,0,0.999999,8.334951631,10.80689566,2.241515982,1.945910149,2.031145559,2.833213344,34.5,34.5,1,observed_gtfs,3.569532696,0,36.32551531,0.284166676,6180.315258,-69.75689877,0,0,34.5,3.569532696,0.028169014,1,46.33,3.857144344,62.33,205629594,19.14158703,4.272661541,224503.1365,12.32164941,174.0933875
297,215 St (1),Manhattan,1625.478834,7.394172733,FALSE,46.33,0,0.999999,7.340186835,10.53065517,2.047247853,2.772588722,2.457203617,2.564949357,33,33,1,observed_gtfs,3.526360525,0,8.047234247,-1.332213627,2888.567517,-66.93206076,0,0,33,3.526360525,0.029411765,1,46.33,3.857144344,58.33,57665300,17.87016618,4.50445147,23244.97945,10.05388747,84.95786815
298,207 St (1),Manhattan,4202.989296,8.343789186,FALSE,47,0,0.999999,7.376508126,11.03472836,2.129959783,2.944438979,2.467449848,2.48490665,32,32,1,observed_gtfs,3.496507561,0,32.5985867,-0.60874452,4799.389452,-74.32738892,0,0,32,3.496507561,0.03030303,1,47,3.871201011,58,98996433,18.41059439,4.597409631,156453.3132,11.96051932,145.436044
299,Dyckman St (1),Manhattan,4658.865445,8.446741852,FALSE,46.67,0,0.666666222,7.640603826,11.30603659,1.963544909,2.890371758,2.466593461,2.772588722,30.5,30.5,1,observed_gtfs,3.449987546,0,22.8891354,-0.326095662,7985.308,58.40137382,0,0,30.5,3.449987546,0.031746032,1,46.67,3.864302269,61.67,169124800,18.94614747,4.43013837,182776.796,12.11602646,253.5018413
300,191 St (1),Manhattan,5273.958454,8.570726082,FALSE,47,0,0.999999,7.992944547,11.36120683,1.880147296,3.258096538,2.454908505,2.833213344,29,29,1,observed_gtfs,3.401197382,0,15.77668782,-0.772409006,12283.05992,-154.5629012,0,0,29,3.401197382,0.033333333,1,47,3.871201011,63,254243198,19.35380184,4.335055801,193786.0018,12.17451491,409.4353307
301,181 St (1),Manhattan,7394.815735,8.908669678,FALSE,46.33,1,0.999999,8.510369966,11.50818424,1.910275953,3.688879454,2.475461375,2.772588722,27.5,27.5,1,observed_gtfs,3.349904087,0,18.53900886,-1.136179984,7124.793756,-88.42446143,0,0,27.5,3.349904087,0.035087719,1,46.33,3.857144344,61.33,494146590,20.01834277,4.385737328,132086.6146,11.79122073,249.9927634
605,"168 St-Washington Hts (1,A,C)",Manhattan,17334.49395,9.760511352,FALSE,71.67,0,0.999999,7.753623547,11.30011583,1.696153105,2.944438979,2.581808872,2.772588722,18.5,24,3,observed_gtfs,2.970414466,0,25.86921911,-0.451362909,5058.220273,12.37978025,0,0,18.5,2.970414466,0.051282051,3,215.01,4.285928645,86.67,188253070,19.05329774,4.277961977,130852.2085,11.78183143,259.3959114
303,157 St (1),Manhattan,7076.841618,8.864724284,FALSE,46.67,0,0.666666222,7.559559496,11.29011936,1.817454055,3.465735903,2.426965702,2.564949357,23,23,1,observed_gtfs,3.17805383,0,23.49393343,-0.597151389,8460.751108,-54.60017178,0,0,23,3.17805383,0.041666667,1,46.67,3.864302269,58.67,153489868,18.84914512,4.244419757,198776.3233,12.1999405,352.5312962
304,145 St (1),Manhattan,6410.277758,8.765813868,FALSE,47,0,0.666666222,7.603897969,11.19261,1.959170676,3.526360525,1.989288968,2.890371758,21,21,1,observed_gtfs,3.091042453,0,28.07058893,-0.187988419,7027.79708,25.71555785,0,0,21,3.091042453,0.045454545,1,47,3.871201011,64,145544955,18.79599557,3.948459644,197274.4029,12.19235602,319.4453218
305,137 St-City College (1),Manhattan,8579.733551,9.057274684,FALSE,50.67,0,0.999999,8.000014094,11.07734645,2.011932214,3.36729583,2.221856095,2.944438979,19.5,19.5,1,observed_gtfs,3.020424886,0,27.78206612,-0.424230113,9476.910085,-3.827109363,0,0,19.5,3.020424886,0.048780488,1,50.67,3.944877342,68.67,192770240,19.07700958,4.233788309,263288.1426,12.48100811,462.2882968
306,125 St (1),Manhattan,6426.772013,8.768383258,FALSE,51,0,0.999999,9.091669442,10.97513966,1.997356139,3.713572067,2.82119237,3.044522438,18,18,1,observed_gtfs,2.944438979,0,32.28816687,0.03582565,4896.092067,-11.63046044,0,0,18,2.944438979,0.052631579,1,51,3.951243719,71,518618640,20.06667938,4.818548509,158085.8377,11.97089977,257.6890562
307,116 St-Columbia University (1),Manhattan,11143.2038,9.318674803,FALSE,51,0,0.666666222,9.246382963,11.02633707,1.785818746,3.891820298,3.079632017,2.833213344,15.5,15.5,1,observed_gtfs,2.803360381,0,14.40723161,0.103405024,5583.873337,9.281957566,0,0,15.5,2.803360381,0.060606061,1,51,3.951243719,67,637208386,20.2726073,4.865450763,80448.15645,11.29538067,338.4165659
308,Cathedral Pkwy (110 St) (1),Manhattan,8882.613994,9.091963734,FALSE,51.33,0,0.999999,9.221675882,11.13906076,1.819313776,3.970291914,2.904115137,2.772588722,14.5,14.5,1,observed_gtfs,2.740840024,0,18.15968429,0.028564069,8591.538751,6.01558224,0,0,14.5,2.740840024,0.064516129,1,51.33,3.95756982,66.33,695835078,20.36062323,4.723428913,156019.6313,11.95774353,554.2928226
309,103 St (1),Manhattan,8875.611212,9.091175143,FALSE,51.33,0,0.666666222,8.872627366,11.42449854,1.778581228,3.988984047,2.608295967,2.63905733,13.5,13.5,1,observed_gtfs,2.674148649,0,11.17588056,-0.142073008,9747.418407,-46.02289618,0,0,13.5,2.674148649,0.068965517,1,51.33,3.95756982,64.33,652926288,20.2969748,4.386877195,108935.9839,11.59852486,672.2357522
310,"96 St (1,2,3)",Manhattan,25178.07765,10.13376868,FALSE,126.67,0,1.999996,8.538563217,11.5252986,1.682327114,4.143134726,2.185699585,2.564949357,7.5,7.5,3,observed_gtfs,2.140066163,0,13.81929867,0.375336444,10618.90254,-39.92806944,0,0,7.5,2.140066163,0.117647059,3,380.01,4.84944881,138.67,517053108,20.06365615,3.868026699,146745.7857,11.89646383,1249.282652
311,86 St (1),Manhattan,12503.78586,9.433866719,FALSE,52.33,0,0.999999,8.753687227,11.46587579,1.759991371,4.094344562,2.246740765,3.583518938,9.5,9.5,1,observed_gtfs,2.351375257,0,7.640672576,0.206803502,10005.86514,-196.8082771,0,0,9.5,2.351375257,0.095238095,1,52.33,3.976499025,87.33,604187199,20.21939464,4.006732136,76451.53937,11.24442543,952.9395371
312,79 St (1),Manhattan,10515.42979,9.260694055,FALSE,52.33,0,0.999999,8.967249183,11.39039618,1.850500444,4.158883083,2.484426068,2.708050201,8.5,8.5,1,observed_gtfs,2.251291799,0,6.280315514,-0.009032638,9500.386235,123.3390761,0,0,8.5,2.251291799,0.105263158,1,52.33,3.976499025,66.33,693669747,20.35750654,4.334926512,59665.42306,10.99652471,1000.040656
313,"72 St (1,2,3)",Manhattan,28415.36224,10.25472039,FALSE,127.33,0,1.999996,9.296884973,11.451635,1.923526123,4.276666119,2.820854461,2.708050201,4.5,4.5,3,observed_gtfs,1.704748092,0,5.118656187,-0.288933818,10419.7795,350.2059999,0,0,4.5,1.704748092,0.181818182,3,381.99,4.854605071,141.33,1025470762,20.74841763,4.744380584,53335.2688,10.88437184,1894.505364
314,66 St-Lincoln Center (1),Manhattan,15573.27897,9.653376048,FALSE,52.67,0,0.666666222,9.682778535,11.40675351,1.686627595,4.369447852,3.062089594,3.80666249,5.5,5.5,1,observed_gtfs,1.871802177,0,7.226319326,0.16625611,7190.613845,466.042014,0,0,5.5,1.871802177,0.153846154,1,52.67,3.982854186,96.67,1442233188,21.08945857,4.748717189,51961.67179,10.85828089,1106.248284
614,"59 St-Columbus Circle (1,A,C,B,D)",Manhattan,52441.69297,10.86747629,FALSE,122.33,1,1.999996,10.29061895,11.09390388,1.594097534,4.369447852,3.298711743,4.343805422,2.5,4,5,observed_gtfs,1.252762968,0,6.141230117,-0.166849342,4284.870236,-24.56881221,0,0,2.5,1.252762968,0.285714286,5,611.65,4.81486369,198.33,1937130672,21.38447368,4.892809277,26314.37414,10.17790862,1224.248639
316,50 St (1),Manhattan,18476.30418,9.824298457,FALSE,51.67,0,0.999999,10.94841773,10.89919926,1.464688058,4.94875989,3.569700593,4.477336814,2,2,1,observed_gtfs,1.098612289,0,10.83908485,-0.353769839,4244.532556,49.04630864,0,0,2,1.098612289,0.333333333,1,51.67,3.964046033,138.67,3078107916,21.84758093,5.034388651,46006.84852,10.73656728,1414.844185
611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,140864.1038,11.855558,FALSE,123.67,1,1.999996,11.1896853,10.49551521,1.299708494,5.313205979,3.543040894,4.465908119,0,0,1,observed_gtfs,0,0,49.84592624,1.901653463,644.1676847,5.108529472,0,0,0,0,1,1,123.67,4.825670246,209.67,2616645608,21.68515903,4.842749388,32109.1349,10.37692699,644.1676847
318,"34 St-Penn Station (1,2,3)",Manhattan,52349.35916,10.86571408,FALSE,127.33,0,1.999996,10.84914289,10.63496563,1.61021559,5.252273428,3.549920517,4.430816799,1,1,3,observed_gtfs,0.693147181,0,21.67842477,1.291355355,1467.113247,58.47031639,0,0,1,0.693147181,0.5,3,381.99,4.854605071,210.33,2139985818,21.48406504,5.160136107,31804.70415,10.36740093,733.5566235
319,28 St (1),Manhattan,9979.296928,9.208368121,FALSE,53,0,0.999999,10.70358149,10.98515712,1.672080112,5.209486153,3.396671474,4.406719247,3,3,1,observed_gtfs,1.386294361,0,12.71530345,-0.165538607,4439.115275,129.5470974,0,0,3,1.386294361,0.25,1,53,3.988984047,134,2625925374,21.68869919,5.068751586,56444.69777,10.94103435,1109.778819
320,23 St (1),Manhattan,9883.77165,9.198750635,FALSE,53,0,0.999999,10.51058653,11.23157,1.759693679,4.919980926,3.236634952,4.394449155,4,4,1,observed_gtfs,1.609437912,0,13.27380182,0.46653358,6841.911162,-16.76026636,0,0,4,1.609437912,0.2,1,53,3.988984047,133,2770007975,21.74211604,4.996328631,90818.17283,11.4166257,1368.382232
321,18 St (1),Manhattan,5874.625665,8.67856783,FALSE,53,0,0.999999,10.24899032,11.29549059,1.841462063,4.890349128,3.121326082,4.304065093,5,5,1,observed_gtfs,1.791759469,0,9.102017358,0.263797035,5252.565848,-365.6356451,0,0,5,1.791759469,0.166666667,1,53,3.988984047,126,2273151621,21.54443309,4.962788145,47808.94552,10.77498896,875.4276413
601,"14 St/6 Av (1,2,3,L,F,M)",Manhattan,34413.02068,10.44621934,FALSE,68.67,2,1.999996,10.08259562,11.3059382,1.830199727,4.779123493,3.144860632,4.304065093,0,0,5,observed_gtfs,0,0,6.462221003,-0.277378537,8268.175852,-68.19942907,0,0,0,0,1,5,343.35,4.243769809,141.67,1944906444,21.38847971,4.975060359,53430.77965,10.88616097,8268.175852
323,Christopher St-Stonewall (1),Manhattan,8312.340953,9.025616847,FALSE,52.67,0,0.999999,9.771783062,11.23411063,1.963672768,4.543294782,3.098291043,3.465735903,7.5,7.5,1,observed_gtfs,2.140066163,0,8.494356988,0.193491291,6144.265666,-12.87982023,0,0,7.5,2.140066163,0.117647059,1,52.67,3.982854186,83.67,1326518177,21.00582344,5.061963811,52191.586,10.86269573,722.8547842
324,Houston St (1),Manhattan,10404.56422,9.250095964,FALSE,53.33,0,0.999999,9.590145733,10.80476616,1.939390149,4.430816799,3.051934893,3.433987204,9,9,1,observed_gtfs,2.302585093,0,5.202956403,-0.280921935,2807.130929,-33.65209437,0,0,9,2.302585093,0.1,1,53.33,3.995076561,83.33,720044226,20.39482319,4.991325042,14605.37984,9.589213688,280.7130929
325,Canal St (1),Manhattan,4035.300254,8.303083773,FALSE,53.33,0,0.999999,9.774232717,10.56002261,1.772037262,4.644390899,3.177959698,3.713572067,10.5,10.5,1,observed_gtfs,2.442347035,0,6.392085548,-0.305471258,2179.460785,81.76015689,0,0,10.5,2.442347035,0.086956522,1,53.33,3.995076561,93.33,677671014,20.3341725,4.94999696,13931.29979,9.541965149,189.5183291
326,Franklin St (1),Manhattan,4729.817066,8.461853208,FALSE,53,0,0.999999,9.912447294,10.72665371,1.663964072,4.795790546,3.249538588,3.63758616,11.5,11.5,1,observed_gtfs,2.525728644,0,6.196252136,-0.178559045,2918.941474,8.396773106,0,0,11.5,2.525728644,0.08,1,53,3.988984047,90,919213987,20.6390295,4.91350266,18086.49734,9.802976224,233.5153179
327,"Chambers St (1,2,3)",Manhattan,13909.51935,9.540400621,FALSE,125.33,0,1.999996,10.0178425,10.82259432,1.548378651,4.700480366,3.292098703,3.784189634,8.5,8.5,3,observed_gtfs,2.251291799,0,3.439341476,-0.077441045,5020.933083,40.80864166,0,0,8.5,2.251291799,0.105263158,3,375.99,4.838897531,168.33,1124239080,20.84037227,4.840477354,17268.7034,9.756708997,528.5192719
328,WTC Cortlandt (1),Manhattan,11500.40614,9.35022458,FALSE,51.33,0,0.999999,10.15237682,11.0472166,1.459125418,4.700480366,3.325164752,3.737669618,14,14,1,observed_gtfs,2.708050201,0,8.055507921,0.078085101,1759.635345,24.19380562,0,0,14,2.708050201,0.066666667,1,51.33,3.95756982,92.33,1610061968,21.19953851,4.78429017,14174.75646,9.559288493,117.309023
329,Rector St (1),Manhattan,5365.829826,8.587992664,FALSE,51.33,0,0.999999,10.11309997,10.80954611,1.512141941,4.727387819,3.36145251,3.737669618,15.5,15.5,1,observed_gtfs,2.803360381,0,10.19206713,0.053643564,4740.95016,-236.6335983,0,0,15.5,2.803360381,0.060606061,1,51.33,3.95756982,92.33,1220571870,20.92258533,4.873594451,48320.08229,10.78562323,287.3303127
