station_complex_id,station_complex_name,borough,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag
293,Van Cortlandt Park-242 St (1),Bronx,8.482839758,43.33,0,0.666666222,8.305731145,9.969415733,1.576416256,0.693147181,2.079690456,2.48490665,39.25,39.25,1,3.695110004,0
294,238 St (1),Bronx,8.049868062,46.33,0,0.79999936,8.617038526,10.57732448,2.03586765,1.609437912,1.914675976,2.48490665,37.5,37.5,1,3.650658241,0
295,231 St (1),Bronx,8.711021066,45.67,0,0.999999,7.997326823,10.92967251,2.04220241,1.386294361,2.033462965,2.833213344,36,36,1,3.610917913,0
296,Marble Hill-225 St (1),Manhattan,8.123497915,46.33,0,0.999999,8.334951631,10.80689566,2.241515982,1.945910149,2.031145559,2.833213344,34.5,34.5,1,3.569532696,0
297,215 St (1),Manhattan,7.394172733,46.33,0,0.999999,7.340186835,10.53065517,2.047247853,2.772588722,2.457203617,2.564949357,33,33,1,3.526360525,0
298,207 St (1),Manhattan,8.343789186,47,0,0.999999,7.376508126,11.03472836,2.129959783,2.944438979,2.467449848,2.48490665,32,32,1,3.496507561,0
299,Dyckman St (1),Manhattan,8.446741852,46.67,0,0.666666222,7.640603826,11.30603659,1.963544909,2.890371758,2.466593461,2.772588722,30.5,30.5,1,3.449987546,0
300,191 St (1),Manhattan,8.570726082,47,0,0.999999,7.992944547,11.36120683,1.880147296,3.258096538,2.454908505,2.833213344,29,29,1,3.401197382,0
301,181 St (1),Manhattan,8.908669678,46.33,1,0.999999,8.510369966,11.50818424,1.910275953,3.688879454,2.475461375,2.772588722,27.5,27.5,1,3.349904087,0
605,"168 St-Washington Hts (1,A,C)",Manhattan,9.760511352,71.67,0,0.999999,7.753623547,11.30011583,1.696153105,2.944438979,2.581808872,2.772588722,18.5,24,3,2.970414466,0
303,157 St (1),Manhattan,8.864724284,46.67,0,0.666666222,7.559559496,11.29011936,1.817454055,3.465735903,2.426965702,2.564949357,23,23,1,3.17805383,0
304,145 St (1),Manhattan,8.765813868,47,0,0.666666222,7.603897969,11.19261,1.959170676,3.526360525,1.989288968,2.890371758,21,21,1,3.091042453,0
305,137 St-City College (1),Manhattan,9.057274684,50.67,0,0.999999,8.000014094,11.07734645,2.011932214,3.36729583,2.221856095,2.944438979,19.5,19.5,1,3.020424886,0
306,125 St (1),Manhattan,8.768383258,51,0,0.999999,9.091669442,10.97513966,1.997356139,3.713572067,2.82119237,3.044522438,18,18,1,2.944438979,0
307,116 St-Columbia University (1),Manhattan,9.318674803,51,0,0.666666222,9.246382963,11.02633707,1.785818746,3.891820298,3.079632017,2.833213344,15.5,15.5,1,2.803360381,0
308,Cathedral Pkwy (110 St) (1),Manhattan,9.091963734,51.33,0,0.999999,9.221675882,11.13906076,1.819313776,3.970291914,2.904115137,2.772588722,14.5,14.5,1,2.740840024,0
309,103 St (1),Manhattan,9.091175143,51.33,0,0.666666222,8.872627366,11.42449854,1.778581228,3.988984047,2.608295967,2.63905733,13.5,13.5,1,2.674148649,0
310,"96 St (1,2,3)",Manhattan,10.13376868,126.67,0,1.999996,8.538563217,11.5252986,1.682327114,4.143134726,2.185699585,2.564949357,7.5,7.5,3,2.140066163,0
311,86 St (1),Manhattan,9.433866719,52.33,0,0.999999,8.753687227,11.46587579,1.759991371,4.094344562,2.246740765,3.583518938,9.5,9.5,1,2.351375257,0
312,79 St (1),Manhattan,9.260694055,52.33,0,0.999999,8.967249183,11.39039618,1.850500444,4.158883083,2.484426068,2.708050201,8.5,8.5,1,2.251291799,0
313,"72 St (1,2,3)",Manhattan,10.25472039,127.33,0,1.999996,9.296884973,11.451635,1.923526123,4.276666119,2.820854461,2.708050201,4.5,4.5,3,1.704748092,0
314,66 St-Lincoln Center (1),Manhattan,9.653376048,52.67,0,0.666666222,9.682778535,11.40675351,1.686627595,4.369447852,3.062089594,3.80666249,5.5,5.5,1,1.871802177,0
614,"59 St-Columbus Circle (1,A,C,B,D)",Manhattan,10.86747629,122.33,1,1.999996,10.29061895,11.09390388,1.594097534,4.369447852,3.298711743,4.343805422,2.5,4,5,1.252762968,0
316,50 St (1),Manhattan,9.824298457,51.67,0,0.999999,10.94841773,10.89919926,1.464688058,4.94875989,3.569700593,4.477336814,2,2,1,1.098612289,0
611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,11.855558,123.67,1,1.999996,11.1896853,10.49551521,1.299708494,5.313205979,3.543040894,4.465908119,0,0,1,0,0
318,"34 St-Penn Station (1,2,3)",Manhattan,10.86571408,127.33,0,1.999996,10.84914289,10.63496563,1.61021559,5.252273428,3.549920517,4.430816799,1,1,3,0.693147181,0
319,28 St (1),Manhattan,9.208368121,53,0,0.999999,10.70358149,10.98515712,1.672080112,5.209486153,3.396671474,4.406719247,3,3,1,1.386294361,0
320,23 St (1),Manhattan,9.198750635,53,0,0.999999,10.51058653,11.23157,1.759693679,4.919980926,3.236634952,4.394449155,4,4,1,1.609437912,0
321,18 St (1),Manhattan,8.67856783,53,0,0.999999,10.24899032,11.29549059,1.841462063,4.890349128,3.121326082,4.304065093,5,5,1,1.791759469,0
601,"14 St/6 Av (1,2,3,L,F,M)",Manhattan,10.44621934,68.67,2,1.999996,10.08259562,11.3059382,1.830199727,4.779123493,3.144860632,4.304065093,0,0,5,0,0
323,Christopher St-Stonewall (1),Manhattan,9.025616847,52.67,0,0.999999,9.771783062,11.23411063,1.963672768,4.543294782,3.098291043,3.465735903,7.5,7.5,1,2.140066163,0
324,Houston St (1),Manhattan,9.250095964,53.33,0,0.999999,9.590145733,10.80476616,1.939390149,4.430816799,3.051934893,3.433987204,9,9,1,2.302585093,0
325,Canal St (1),Manhattan,8.303083773,53.33,0,0.999999,9.774232717,10.56002261,1.772037262,4.644390899,3.177959698,3.713572067,10.5,10.5,1,2.442347035,0
326,Franklin St (1),Manhattan,8.461853208,53,0,0.999999,9.912447294,10.72665371,1.663964072,4.795790546,3.249538588,3.63758616,11.5,11.5,1,2.525728644,0
327,"Chambers St (1,2,3)",Manhattan,9.540400621,125.33,0,1.999996,10.0178425,10.82259432,1.548378651,4.700480366,3.292098703,3.784189634,8.5,8.5,3,2.251291799,0
328,WTC Cortlandt (1),Manhattan,9.35022458,51.33,0,0.999999,10.15237682,11.0472166,1.459125418,4.700480366,3.325164752,3.737669618,14,14,1,2.708050201,0
