station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,jobs_access_network,pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,pct_walked_access_network,bus_routes_access_network,avg_headway_min_am_peak,service_x_jobs_access,density_x_service,jobs_x_density,entropy_x_density,inv_headway,log_jobs_access,log_density,cluster
293,Van Cortlandt Park-242 St (1),Bronx,4830.149734,8.482839758,43.33,0,4046,21362,1.576416256,0.693147181,7.001991559,11,1.5,175313.18,925615.46,86430652,33675.40406,0.666666222,8.305731145,9.969415733,1
294,238 St (1),Bronx,3132.381531,8.049868062,46.33,0,5524,39234,2.03586765,1.609437912,5.784740025,11,1.25,255926.92,1817711.22,216728616,79875.23138,0.79999936,8.617038526,10.57732448,1
295,231 St (1),Bronx,6068.436623,8.711021066,45.67,0,2972,55807,2.04220241,1.386294361,6.640499384,16,1.0,135731.24,2548705.69,165858404,113969.1899,0.999999,7.997326823,10.92967251,1
296,Marble Hill-225 St (1),Manhattan,3371.797896,8.123497915,46.33,0,4166,49359,2.241515982,1.945910149,6.62281374,16,1.0,193010.78,2286802.47,205629594,110638.9874,0.999999,8.334951631,10.80689566,1
297,215 St (1),Manhattan,1625.478834,7.394172733,46.33,0,1540,37445,2.047247853,2.772588722,10.67212612,12,1.0,71348.2,1734826.85,57665300,76659.19586,0.999999,7.340186835,10.53065517,1
298,207 St (1),Manhattan,4202.989296,8.343789186,47.0,0,1597,61989,2.129959783,2.944438979,10.79233622,11,1.0,75059.0,2913483.0,98996433,132034.077,0.999999,7.376508126,11.03472836,1
299,Dyckman St (1),Manhattan,4658.865445,8.446741852,46.67,0,2080,81310,1.963544909,2.890371758,10.78224175,15,1.5,97073.6,3794737.7,169124800,159655.8366,0.666666222,7.640603826,11.30603659,1
300,191 St (1),Manhattan,5273.958454,8.570726082,47.0,0,2959,85922,1.880147296,3.258096538,10.64536801,16,1.0,139073.0,4038334.0,254243198,161546.016,0.999999,7.992944547,11.36120683,1
301,181 St (1),Manhattan,7394.815735,8.908669678,46.33,1,4965,99526,1.910275953,3.688879454,10.8871903,15,1.0,230028.45,4611039.58,494146590,190122.1245,0.999999,8.510369966,11.50818424,1
605,"168 St-Washington Hts (1,A,C)",Manhattan,17334.49395,9.760511352,71.67,0,2329,80830,1.696153105,2.944438979,12.2210317,15,1.0,166919.43,5793086.1,188253070,137100.0555,0.999999,7.753623547,11.30011583,1
303,157 St (1),Manhattan,7076.841618,8.864724284,46.67,0,1918,80026,1.817454055,3.465735903,10.32446809,12,1.5,89513.06,3734813.42,153489868,145443.5782,0.666666222,7.559559496,11.29011936,1
304,145 St (1),Manhattan,6410.277758,8.765813868,47.0,0,2005,72591,1.959170676,3.526360525,6.310334029,17,1.5,94235.0,3411777.0,145544955,142218.1585,0.666666222,7.603897969,11.19261,1
305,137 St-City College (1),Manhattan,8579.733551,9.057274684,50.67,0,2980,64688,2.011932214,3.36729583,8.224436414,18,1.0,150996.6,3277740.96,192770240,130147.8711,0.999999,8.000014094,11.07734645,1
306,125 St (1),Manhattan,6426.772013,8.768383258,51.0,0,8880,58403,1.997356139,3.713572067,15.79686681,20,1.0,452880.0,2978553.0,518618640,116651.5906,0.999999,9.091669442,10.97513966,1
307,116 St-Columbia University (1),Manhattan,11143.2038,9.318674803,51.0,0,10366,61471,1.785818746,3.891820298,20.75039715,16,1.5,528666.0,3135021.0,637208386,109776.0641,0.666666222,9.246382963,11.02633707,1
308,Cathedral Pkwy (110 St) (1),Manhattan,8882.613994,9.091963734,51.33,0,10113,68806,1.819313776,3.970291914,17.24908857,15,1.0,519100.29,3531811.98,695835078,125179.7037,0.999999,9.221675882,11.13906076,1
309,103 St (1),Manhattan,8875.611212,9.091175143,51.33,0,7133,91536,1.778581228,3.988984047,12.57589735,13,1.5,366136.89,4698542.88,652926288,162804.2113,0.666666222,8.872627366,11.42449854,1
