station_complex_id,station_complex_name,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,poverty_source_nearest_gtfs,poverty_source_observed,travel_time_source_nearest_station_complex_id,travel_time_source_observed_gtfs
293,Van Cortlandt Park-242 St (1),4830.149734,8.482839758,0,43.33,0.666666222,8.305731145,9.969415733,1.576416256,0.693147181,2.079690456,2.48490665,39.25,39.25,1,3.695110004,0,36.32551531,0.284166676,688.835015,-22.10091241,1,0,0,1,0,0,0,0,0,1,0,0,1
294,238 St (1),3132.381531,8.049868062,0,46.33,0.79999936,8.617038526,10.57732448,2.03586765,1.609437912,1.914675976,2.48490665,37.5,37.5,1,3.650658241,0,36.32551531,0.284166676,2229.514895,17.71182914,1,0,0,1,0,0,0,0,0,1,0,0,1
295,231 St (1),6068.436623,8.711021066,0,45.67,0.999999,7.997326823,10.92967251,2.04220241,1.386294361,2.033462965,2.833213344,36,36,1,3.610917913,0,36.32551531,0.284166676,4397.436036,-69.40950966,1,0,0,1,0,0,0,0,0,1,0,0,1
360,Pelham Bay Park (6),4094.668118,8.317685138,0,41.67,0.666666222,6.923628628,9.654128354,1.365046746,0,1.34148111,2.302585093,44,44,1,3.80666249,0,36.32551531,0.284166676,2440.39756,96.27228832,1,0,0,0,1,0,0,0,0,0,0,0,1
361,Buhre Av (6),2642.566219,7.879884125,0,41.67,0.666666222,7.374629015,10.09385995,1.844091504,0.693147181,1.280454359,2.63905733,42,42,1,3.761200116,0,36.32551531,0.284166676,3421.869384,5.460068009,1,0,0,0,1,0,0,0,0,0,0,0,1
362,Middletown Rd (6),1505.461841,7.317519029,0,42,0.666666222,9.090542809,9.941024156,1.888730477,1.098612289,1.650206272,2.63905733,41,41,1,3.737669618,0,36.32551531,0.284166676,2508.732117,4.040769651,1,0,0,0,1,0,0,0,0,0,0,0,1
363,Westchester Sq-E Tremont Av (6),2566.653362,7.850747672,0,41.33,0.666666222,8.915566546,9.967353973,2.12455464,1.791759469,2.434182407,2.708050201,39,39,1,3.688879454,0,36.32551531,0.284166676,2378.32528,182.9423336,1,0,0,0,1,0,0,0,0,0,0,0,1
364,Zerega Av (6),1713.303761,7.446762307,0,41.67,0.666666222,8.668711839,10.41828528,2.138512494,1.791759469,2.098698541,2.833213344,37.5,37.5,1,3.650658241,0,36.32551531,0.284166676,1917.513765,3.767943904,1,0,0,0,1,0,0,0,0,0,0,0,1
365,Castle Hill Av (6),3721.175194,8.222063506,0,41.67,0.49999975,8.723394022,10.85724746,1.857744187,1.386294361,1.927182483,2.833213344,36.5,36.5,1,3.624340933,0,36.32551531,0.284166676,3084.190138,-33.89987014,1,0,0,0,1,0,0,0,0,0,0,0,1
366,Parkchester (6),10015.43487,9.21198251,0,54.33,0.999999,8.269756948,11.1542342,1.825840327,1.386294361,1.846100741,2.772588722,34,35.12,2,3.555348061,0,36.32551531,0.284166676,5175.332989,-86.84485563,1,0,0,0,1,0,0,0,0,0,0,0,1
