station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,jobs_access_network,pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,pct_walked_access_network,bus_routes_access_network,avg_headway_min_am_peak,service_x_jobs_access,density_x_service,jobs_x_density,entropy_x_density,inv_headway,log_jobs_access,log_density
293,Van Cortlandt Park-242 St (1),Bronx,4830.149734,8.482839758,43.33,0,4046,21362,1.576416256,0.693147181,7.001991559,11,1.5,175313.18,925615.46,86430652,33675.404060672,0.6666662222225186,8.305731144875866,9.969415732650235
294,238 St (1),Bronx,3132.381531,8.049868062,46.33,0,5524,39234,2.03586765,1.609437912,5.784740025,11,1.25,255926.91999999998,1817711.22,216728616,79875.23138010001,0.7999993600005121,8.617038526385954,10.577324484561574
295,231 St (1),Bronx,6068.436623,8.711021066,45.67,0,2972,55807,2.04220241,1.386294361,6.640499384,16,1.0,135731.24,2548705.69,165858404,113969.18989486998,0.9999990000010001,7.997326822998097,10.929672507268652
296,Marble Hill-225 St (1),Manhattan,3371.797896,8.123497915,46.33,0,4166,49359,2.241515982,1.945910149,6.62281374,16,1.0,193010.78,2286802.4699999997,205629594,110638.987355538,0.9999990000010001,8.334951631422454,10.80689565857927
297,215 St (1),Manhattan,1625.478834,7.394172733,46.33,0,1540,37445,2.047247853,2.772588722,10.67212612,12,1.0,71348.2,1734826.8499999999,57665300,76659.195855585,0.9999990000010001,7.340186835320115,10.530655174162098
298,207 St (1),Manhattan,4202.989296,8.343789186,47.0,0,1597,61989,2.129959783,2.944438979,10.79233622,11,1.0,75059.0,2913483.0,98996433,132034.07698838698,0.9999990000010001,7.37650812632622,11.034728360695965
299,Dyckman St (1),Manhattan,4658.865445,8.446741852,46.67,0,2080,81310,1.963544909,2.890371758,10.78224175,15,1.5,97073.6,3794737.7,169124800,159655.83655079,0.6666662222225186,7.640603826393634,11.306036587736513
300,191 St (1),Manhattan,5273.958454,8.570726082,47.0,0,2959,85922,1.880147296,3.258096538,10.64536801,16,1.0,139073.0,4038334.0,254243198,161546.015966912,0.9999990000010001,7.992944547318106,11.361206825334252
301,181 St (1),Manhattan,7394.815735,8.908669678,46.33,1,4965,99526,1.910275953,3.688879454,10.8871903,15,1.0,230028.44999999998,4611039.58,494146590,190122.124498278,0.9999990000010001,8.510369966068112,11.508184243120011
605,"168 St-Washington Hts (1,A,C)",Manhattan,17334.49395,9.760511352,71.67,0,2329,80830,1.696153105,2.944438979,12.2210317,15,1.0,166919.43,5793086.100000001,188253070,137100.05547715002,0.9999990000010001,7.753623546559746,11.300115834295553
303,157 St (1),Manhattan,7076.841618,8.864724284,46.67,0,1918,80026,1.817454055,3.465735903,10.32446809,12,1.5,89513.06,3734813.42,153489868,145443.57820543,0.6666662222225186,7.5595594960077,11.290119356715705
304,145 St (1),Manhattan,6410.277758,8.765813868,47.0,0,2005,72591,1.959170676,3.526360525,6.310334029,17,1.5,94235.0,3411777.0,145544955,142218.158541516,0.6666662222225186,7.603897968521881,11.192610001903745
