station_complex_id,station_complex,borough,latitude,longitude,geometry,avg_annual_ridership,log_avg_ridership
119,1 Av (L),Manhattan,40.730953,-73.98163,POINT (-73.98163 40.730953),18401.75853,9.820255852
309,103 St (1),Manhattan,40.799446,-73.968376,POINT (-73.968376 40.799446),8875.611212,9.091175143
395,103 St (6),Manhattan,40.7906,-73.94748,POINT (-73.94748 40.7906),8480.911889,9.045691162
156,"103 St (C,B)",Manhattan,40.796093,-73.96146,POINT (-73.96146 40.796093),3277.341014,8.095092785
450,103 St-Corona Plaza (7),Queens,40.749866,-73.8627,POINT (-73.8627 40.749866),19936.47756,9.900356534
193,104 St (A),Queens,40.68171,-73.837685,POINT (-73.837685 40.68171),1269.104802,7.146854697
82,"104 St (J,Z)",Queens,40.69518,-73.84433,POINT (-73.84433 40.69518),2115.426282,7.657484229
394,110 St (6),Manhattan,40.79502,-73.94425,POINT (-73.94425 40.79502),6732.242501,8.814812105
449,111 St (7),Queens,40.75173,-73.85533,POINT (-73.85533 40.75173),6383.826258,8.761679557
194,111 St (A),Queens,40.68433,-73.83216,POINT (-73.83216 40.68433),1633.012941,7.398794195
81,111 St (J),Queens,40.69742,-73.83634,POINT (-73.83634 40.69742),1650.770924,7.409603279
440,"116 St (2,3)",Manhattan,40.802097,-73.94962,POINT (-73.94962 40.802097),6178.910135,8.729059009
393,116 St (6),Manhattan,40.79863,-73.94162,POINT (-73.94162 40.79863),8893.89544,9.093232845
154,"116 St (C,B)",Manhattan,40.805084,-73.95488,POINT (-73.95488 40.805084),4606.427129,8.435424874
307,116 St-Columbia University (1),Manhattan,40.80772,-73.96411,POINT (-73.96411 40.80772),11143.2038,9.318674803
80,"121 St (J,Z)",Queens,40.700493,-73.82829,POINT (-73.82829 40.700493),1662.917997,7.41693034
306,125 St (1),Manhattan,40.815582,-73.958374,POINT (-73.958374 40.815582),6426.772013,8.768383258
439,"125 St (2,3)",Manhattan,40.807755,-73.945496,POINT (-73.945496 40.807755),8855.033986,9.088854312
392,"125 St (4,5,6)",Manhattan,40.80414,-73.93759,POINT (-73.93759 40.80414),16700.45501,9.723251121
153,"125 St (A,C,B,D)",Manhattan,40.811108,-73.95235,POINT (-73.95235 40.811108),18301.69092,9.814803373
438,"135 St (2,3)",Manhattan,40.814228,-73.94077,POINT (-73.94077 40.814228),7199.292392,8.881876914
152,"135 St (C,B)",Manhattan,40.817894,-73.94765,POINT (-73.94765 40.817894),3785.780056,8.239271347
305,137 St-City College (1),Manhattan,40.822006,-73.953674,POINT (-73.953674 40.822006),8579.733551,9.057274684
391,"138 St-Grand Concourse (4,5)",Bronx,40.813225,-73.92985,POINT (-73.92985 40.813225),2618.438921,7.870715422
618,"14 St (A,C,E)/8 Av (L)",Manhattan,40.740894,-74.00169,POINT (-74.00169 40.740894),34899.89786,10.46026783
601,"14 St (F,M,1,2,3)/6 Av (L)",Manhattan,40.738228,-73.99621,POINT (-73.99621 40.738228),34413.02068,10.44621934
602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",Manhattan,40.735737,-73.98995,POINT (-73.98995 40.735737),69318.73494,11.14648492
304,145 St (1),Manhattan,40.82655,-73.95036,POINT (-73.95036 40.82655),6410.277758,8.765813868
437,145 St (3),Manhattan,40.82042,-73.93625,POINT (-73.93625 40.82042),2004.105769,7.603452091
151,"145 St (A,C,B,D)",Manhattan,40.824783,-73.944214,POINT (-73.944214 40.824783),15651.16824,9.658364732
603,"149 St-Grand Concourse (2,4,5)",Bronx,40.818375,-73.92735,POINT (-73.92735 40.818375),6980.165518,8.850971161
241,"15 St-Prospect Park (F,G)",Brooklyn,40.660366,-73.97949,POINT (-73.97949 40.660366),4473.498972,8.406149663
220,"155 St (B,D)",Manhattan,40.830135,-73.93821,POINT (-73.93821 40.830135),1884.604197,7.542003577
150,155 St (C),Manhattan,40.830517,-73.94151,POINT (-73.94151 40.830517),1697.622762,7.437573062
303,157 St (1),Manhattan,40.83404,-73.94489,POINT (-73.94489 40.83404),7076.841618,8.864724284
604,"161 St-Yankee Stadium (B,D,4)",Bronx,40.827904,-73.92565,POINT (-73.92565 40.827904),17504.653,9.770279136
149,163 St-Amsterdam Av (C),Manhattan,40.836014,-73.939896,POINT (-73.939896 40.836014),2679.987179,7.893940356
388,167 St (4),Bronx,40.835537,-73.9214,POINT (-73.9214 40.835537),5606.061139,8.631782
218,"167 St (B,D)",Bronx,40.83377,-73.91844,POINT (-73.91844 40.83377),4899.177492,8.497026706
605,"168 St (A,C,1)",Manhattan,40.840717,-73.93956,POINT (-73.93956 40.840717),17334.49395,9.760511352
255,169 St (F),Queens,40.71047,-73.7936,POINT (-73.7936 40.71047),5545.630382,8.620945884
387,170 St (4),Bronx,40.840076,-73.91779,POINT (-73.91779 40.840076),4496.430576,8.41126153
217,"170 St (B,D)",Bronx,40.839306,-73.9134,POINT (-73.9134 40.839306),3495.997158,8.159659924
428,"174 St (2,5)",Bronx,40.837288,-73.88773,POINT (-73.88773 40.837288),3595.812651,8.187803358
216,"174-175 Sts (B,D)",Bronx,40.8459,-73.91013,POINT (-73.91013 40.8459),2735.793602,7.914542296
147,175 St (A),Manhattan,40.84739,-73.939705,POINT (-73.939705 40.84739),7329.712325,8.89982797
385,176 St (4),Bronx,40.84848,-73.9118,POINT (-73.9118 40.84848),3295.020864,8.100471221
66,18 Av (D),Brooklyn,40.607952,-74.00174,POINT (-74.00174 40.607952),4355.382862,8.379397373
245,18 Av (F),Brooklyn,40.629753,-73.976974,POINT (-73.976974 40.629753),2542.006713,7.841102405
74,18 Av (N),Brooklyn,40.62067,-73.99042,POINT (-73.99042 40.62067),3661.116836,8.20579663
321,18 St (1),Manhattan,40.74104,-73.99787,POINT (-73.99787 40.74104),5874.625665,8.67856783
301,181 St (1),Manhattan,40.849506,-73.93359,POINT (-73.93359 40.849506),7394.815735,8.908669678
146,181 St (A),Manhattan,40.851696,-73.937965,POINT (-73.937965 40.851696),6179.13395,8.729095225
214,"182-183 Sts (B,D)",Bronx,40.856094,-73.90074,POINT (-73.90074 40.856094),2871.285377,7.962863291
383,183 St (4),Bronx,40.858406,-73.90388,POINT (-73.90388 40.858406),3475.493832,8.153779545
145,190 St (A),Manhattan,40.85902,-73.93418,POINT (-73.93418 40.85902),3165.123307,8.060263187
300,191 St (1),Manhattan,40.855225,-73.92941,POINT (-73.92941 40.855225),5273.958454,8.570726082
232,2 Av (F),Manhattan,40.7234,-73.98994,POINT (-73.98994 40.7234),11960.82747,9.389475814
67,20 Av (D),Brooklyn,40.604557,-73.99817,POINT (-73.99817 40.604557),3597.546746,8.188285361
75,20 Av (N),Brooklyn,40.61741,-73.98502,POINT (-73.98502 40.61741),3157.792513,8.057945118
298,207 St (1),Manhattan,40.86462,-73.91882,POINT (-73.91882 40.86462),4202.989296,8.343789186
282,21 St (G),Queens,40.744064,-73.94972,POINT (-73.94972 40.744064),1319.085847,7.185452049
221,21 St-Queensbridge (F),Queens,40.754204,-73.94283,POINT (-73.94283 40.754204),5337.413703,8.582683829
297,215 St (1),Manhattan,40.869446,-73.915276,POINT (-73.915276 40.869446),1625.478834,7.394172733
420,"219 St (2,5)",Bronx,40.883896,-73.86263,POINT (-73.86263 40.883896),1536.946118,7.338203115
419,"225 St (2,5)",Bronx,40.888023,-73.860344,POINT (-73.860344 40.888023),1906.389635,7.553490903
320,23 St (1),Manhattan,40.74408,-73.99566,POINT (-73.99566 40.74408),9883.77165,9.198750635
405,23 St (6),Manhattan,40.739864,-73.9866,POINT (-73.9866 40.739864),19494.02141,9.8779144
165,"23 St (C,E)",Manhattan,40.745907,-73.99804,POINT (-73.99804 40.745907),15445.03302,9.645107487
228,"23 St (F,M)",Manhattan,40.742878,-73.99282,POINT (-73.99282 40.742878),19612.75581,9.883986426
14,"23 St (R,W)",Manhattan,40.741302,-73.98934,POINT (-73.98934 40.741302),14091.69606,9.553411932
295,231 St (1),Bronx,40.878857,-73.90483,POINT (-73.90483 40.878857),6068.436623,8.711021066
418,"233 St (2,5)",Bronx,40.893192,-73.857475,POINT (-73.857475 40.893192),2606.342163,7.866086653
294,238 St (1),Bronx,40.884666,-73.90087,POINT (-73.90087 40.884666),3132.381531,8.049868062
69,25 Av (D),Brooklyn,40.597706,-73.98683,POINT (-73.98683 40.597706),3088.780721,8.035855403
31,25 St (R),Brooklyn,40.660397,-73.99809,POINT (-73.99809 40.660397),2667.441824,7.889249994
319,28 St (1),Manhattan,40.747215,-73.99336,POINT (-73.99336 40.747215),9979.296928,9.208368121
404,28 St (6),Manhattan,40.74307,-73.98426,POINT (-73.98426 40.74307),15169.64441,9.627117551
13,"28 St (R,W)",Manhattan,40.745495,-73.98869,POINT (-73.98869 40.745495),8778.589683,9.080184952
118,3 Av (L),Manhattan,40.73285,-73.98612,POINT (-73.98612 40.73285),4807.916183,8.478227012
377,3 Av-138 St (6),Bronx,40.810474,-73.92614,POINT (-73.92614 40.810474),5542.413582,8.62036576
434,"3 Av-149 St (2,5)",Bronx,40.81611,-73.917755,POINT (-73.917755 40.81611),11628.18874,9.361273487
3,"30 Av (N,W)",Queens,40.76678,-73.92148,POINT (-73.92148 40.76678),10034.60002,9.213894053
403,33 St (6),Manhattan,40.746082,-73.98208,POINT (-73.98208 40.746082),19920.53955,9.899556815
460,33 St-Rawson St (7),Queens,40.744587,-73.931,POINT (-73.931 40.744587),6482.170174,8.776964894
607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,40.749718,-73.98782,POINT (-73.98782 40.749718),77124.2038,11.2531854
471,34 St-Hudson Yards (7),Manhattan,40.755882,-74.00191,POINT (-74.00191 40.755882),19714.35371,9.889152987
318,"34 St-Penn Station (1,2,3)",Manhattan,40.750374,-73.99106,POINT (-73.99106 40.750374),52349.35916,10.86571408
164,"34 St-Penn Station (A,C,E)",Manhattan,40.75229,-73.99339,POINT (-73.99339 40.75229),57809.25587,10.96492148
5,"36 Av (N,W)",Queens,40.756805,-73.92957,POINT (-73.92957 40.756805),4828.133104,8.482422249
32,"36 St (D,N,R)",Brooklyn,40.655144,-74.00355,POINT (-74.00355 40.655144),11194.84349,9.323297872
272,"36 St (M,R)",Queens,40.75204,-73.92878,POINT (-73.92878 40.75204),2685.979076,7.896172821
6,"39 Av-Dutch Kills (N,W)",Queens,40.75288,-73.932755,POINT (-73.932755 40.75288),2725.287978,7.910696248
608,"4 Av (F,G)/9 St (R)",Brooklyn,40.670273,-73.98978,POINT (-73.98978 40.670273),9184.428943,9.125373697
459,40 St-Lowery St (7),Queens,40.743782,-73.92402,POINT (-73.92402 40.743782),7224.420295,8.885360684
33,45 St (R),Brooklyn,40.648937,-74.01001,POINT (-74.01001 40.648937),5699.981011,8.648393546
270,"46 St (M,R)",Queens,40.756313,-73.91333,POINT (-73.91333 40.756313),5350.221759,8.58508018
458,46 St-Bliss St (7),Queens,40.743134,-73.918434,POINT (-73.918434 40.743134),9244.58545,9.131901468
225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,40.758663,-73.98133,POINT (-73.98133 40.758663),42784.10202,10.66394524
10,"49 St (N,R,W)",Manhattan,40.7599,-73.98414,POINT (-73.98414 40.7599),18561.21172,9.828883165
276,"5 Av/53 St (E,M)",Manhattan,40.760166,-73.97523,POINT (-73.97523 40.760166),17243.08406,9.755224411
8,"5 Av/59 St (N,R,W)",Manhattan,40.764812,-73.97335,POINT (-73.97335 40.764812),11365.11157,9.338391538
316,50 St (1),Manhattan,40.761726,-73.98385,POINT (-73.98385 40.761726),18476.30418,9.824298457
162,"50 St (C,E)",Manhattan,40.762455,-73.985985,POINT (-73.985985 40.762455),15805.84748,9.66819851
61,50 St (D),Brooklyn,40.63626,-73.99479,POINT (-73.99479 40.63626),2538.286768,7.839638521
457,52 St (7),Queens,40.74415,-73.91255,POINT (-73.91255 40.74415),4700.237179,8.455580983
34,53 St (R),Brooklyn,40.64507,-74.01403,POINT (-74.01403 40.64507),6286.876028,8.746378618
62,55 St (D),Brooklyn,40.631435,-73.995476,POINT (-73.995476 40.631435),1395.530842,7.24174647
224,57 St (F),Manhattan,40.763973,-73.97745,POINT (-73.97745 40.763973),9096.782051,9.115785932
9,"57 St-7 Av (N,Q,R,W)",Manhattan,40.764664,-73.98066,POINT (-73.98066 40.764664),25519.28864,10.14722905
35,"59 St (N,R)",Brooklyn,40.64136,-74.01788,POINT (-74.01788 40.64136),9194.564224,9.126476497
614,"59 St-Columbus Circle (A,B,C,D,1)",Manhattan,40.768295,-73.981735,POINT (-73.981735 40.768295),52441.69297,10.86747629
456,61 St-Woodside (7),Queens,40.74563,-73.902985,POINT (-73.902985 40.74563),12963.56271,9.469974969
263,"63 Dr-Rego Park (M,R)",Queens,40.729847,-73.8616,POINT (-73.8616 40.729847),10059.19805,9.216342131
268,"65 St (M,R)",Queens,40.74967,-73.89845,POINT (-73.89845 40.74967),2402.65052,7.784743911
314,66 St-Lincoln Center (1),Manhattan,40.77344,-73.98221,POINT (-73.98221 40.77344),15573.27897,9.653376048
262,"67 Av (M,R)",Queens,40.726524,-73.85272,POINT (-73.85272 40.726524),5792.080189,8.664419413
399,68 St-Hunter College (6),Manhattan,40.768143,-73.96387,POINT (-73.96387 40.768143),18873.96323,9.845591626
455,69 St (7),Queens,40.746326,-73.8964,POINT (-73.8964 40.746326),4392.923863,8.387977925
41,"7 Av (B,Q)",Brooklyn,40.67705,-73.97237,POINT (-73.97237 40.67705),7446.334664,8.915611484
277,"7 Av (E,B,D)",Manhattan,40.762863,-73.981636,POINT (-73.981636 40.762863),13685.49994,9.52416522
240,"7 Av (F,G)",Brooklyn,40.66627,-73.98031,POINT (-73.98031 40.66627),8977.216316,9.102556513
64,71 St (D),Brooklyn,40.61959,-73.99886,POINT (-73.99886 40.61959),3459.854439,8.149270785
313,"72 St (1,2,3)",Manhattan,40.778454,-73.98197,POINT (-73.98197 40.778454),28415.36224,10.25472039
160,"72 St (C,B)",Manhattan,40.775593,-73.97641,POINT (-73.97641 40.775593),7349.744799,8.90255692
477,72 St (Q),Manhattan,40.7688,-73.95843,POINT (-73.95843 40.7688),22792.05836,10.03421131
