station_complex,station_complex_id,borough,latitude,longitude,geometry,year,annual_weekday_avg_ridership,log_ridership
1 Av (L),119,Manhattan,40.730953,-73.98163,POINT (-73.98163 40.730953),2023,17737.40385,9.783487277
1 Av (L),119,Manhattan,40.730953,-73.98163,POINT (-73.98163 40.730953),2024,19066.11321,9.855720308
103 St (1),309,Manhattan,40.799446,-73.968376,POINT (-73.968376 40.799446),2023,8938.455128,9.098229919
103 St (1),309,Manhattan,40.799446,-73.968376,POINT (-73.968376 40.799446),2024,8812.767296,9.084070243
103 St (6),395,Manhattan,40.7906,-73.94748,POINT (-73.94748 40.7906),2023,8700.99359,9.071307427
103 St (6),395,Manhattan,40.7906,-73.94748,POINT (-73.94748 40.7906),2024,8260.830189,9.019401414
"103 St (C,B)",156,Manhattan,40.796093,-73.96146,POINT (-73.96146 40.796093),2023,3259.147436,8.089527699
"103 St (C,B)",156,Manhattan,40.796093,-73.96146,POINT (-73.96146 40.796093),2024,3295.534591,8.100627072
103 St-Corona Plaza (7),450,Queens,40.749866,-73.8627,POINT (-73.8627 40.749866),2023,20324.62179,9.919637527
103 St-Corona Plaza (7),450,Queens,40.749866,-73.8627,POINT (-73.8627 40.749866),2024,19548.33333,9.880696464
104 St (A),193,Queens,40.68171,-73.837685,POINT (-73.837685 40.68171),2023,1282.775641,7.157560735
104 St (A),193,Queens,40.68171,-73.837685,POINT (-73.837685 40.68171),2024,1255.433962,7.136032799
"104 St (J,Z)",82,Queens,40.69518,-73.84433,POINT (-73.84433 40.69518),2023,2128.519231,7.66365152
"104 St (J,Z)",82,Queens,40.69518,-73.84433,POINT (-73.84433 40.69518),2024,2102.333333,7.651278667
110 St (6),394,Manhattan,40.79502,-73.94425,POINT (-73.94425 40.79502),2023,6831.371795,8.829427154
110 St (6),394,Manhattan,40.79502,-73.94425,POINT (-73.94425 40.79502),2024,6633.113208,8.799980284
111 St (7),449,Queens,40.75173,-73.85533,POINT (-73.85533 40.75173),2023,6310.25,8.750089034
111 St (7),449,Queens,40.75173,-73.85533,POINT (-73.85533 40.75173),2024,6457.402516,8.773137278
111 St (A),194,Queens,40.68433,-73.83216,POINT (-73.83216 40.68433),2023,1658.371795,7.414194373
111 St (A),194,Queens,40.68433,-73.83216,POINT (-73.83216 40.68433),2024,1607.654088,7.383153138
111 St (J),81,Queens,40.69742,-73.83634,POINT (-73.83634 40.69742),2023,1637.384615,7.401466045
111 St (J),81,Queens,40.69742,-73.83634,POINT (-73.83634 40.69742),2024,1664.157233,7.417674832
"116 St (2,3)",440,Manhattan,40.802097,-73.94962,POINT (-73.94962 40.802097),2023,6323.807692,8.752234909
"116 St (2,3)",440,Manhattan,40.802097,-73.94962,POINT (-73.94962 40.802097),2024,6034.012579,8.705333218
116 St (6),393,Manhattan,40.79863,-73.94162,POINT (-73.94162 40.79863),2023,8910.583333,9.095107208
116 St (6),393,Manhattan,40.79863,-73.94162,POINT (-73.94162 40.79863),2024,8877.207547,9.091354963
"116 St (C,B)",154,Manhattan,40.805084,-73.95488,POINT (-73.95488 40.805084),2023,4670.942308,8.449330176
"116 St (C,B)",154,Manhattan,40.805084,-73.95488,POINT (-73.95488 40.805084),2024,4541.91195,8.421323484
116 St-Columbia University (1),307,Manhattan,40.80772,-73.96411,POINT (-73.96411 40.80772),2023,11333.9359,9.335644908
116 St-Columbia University (1),307,Manhattan,40.80772,-73.96411,POINT (-73.96411 40.80772),2024,10952.4717,9.301411735
"121 St (J,Z)",80,Queens,40.700493,-73.82829,POINT (-73.82829 40.700493),2023,1712.974359,7.446570139
"121 St (J,Z)",80,Queens,40.700493,-73.82829,POINT (-73.82829 40.700493),2024,1612.861635,7.386385117
125 St (1),306,Manhattan,40.815582,-73.958374,POINT (-73.958374 40.815582),2023,6399.166667,8.764079311
125 St (1),306,Manhattan,40.815582,-73.958374,POINT (-73.958374 40.815582),2024,6454.377358,8.772668761
"125 St (2,3)",439,Manhattan,40.807755,-73.945496,POINT (-73.945496 40.807755),2023,8378.602564,9.033555766
"125 St (2,3)",439,Manhattan,40.807755,-73.945496,POINT (-73.945496 40.807755),2024,9331.465409,9.141254504
"125 St (4,5,6)",392,Manhattan,40.80414,-73.93759,POINT (-73.93759 40.80414),2023,15936.5641,9.676434124
"125 St (4,5,6)",392,Manhattan,40.80414,-73.93759,POINT (-73.93759 40.80414),2024,17464.34591,9.767973963
"125 St (A,C,B,D)",153,Manhattan,40.811108,-73.95235,POINT (-73.95235 40.811108),2023,17839.90385,9.789249069
"125 St (A,C,B,D)",153,Manhattan,40.811108,-73.95235,POINT (-73.95235 40.811108),2024,18763.47799,9.839720893
"135 St (2,3)",438,Manhattan,40.814228,-73.94077,POINT (-73.94077 40.814228),2023,7163.99359,8.876962446
"135 St (2,3)",438,Manhattan,40.814228,-73.94077,POINT (-73.94077 40.814228),2024,7234.591195,8.886767349
"135 St (C,B)",152,Manhattan,40.817894,-73.94765,POINT (-73.94765 40.817894),2023,3699.019231,8.216093296
"135 St (C,B)",152,Manhattan,40.817894,-73.94765,POINT (-73.94765 40.817894),2024,3872.540881,8.261924324
137 St-City College (1),305,Manhattan,40.822006,-73.953674,POINT (-73.953674 40.822006),2023,8728.423077,9.074454562
137 St-City College (1),305,Manhattan,40.822006,-73.953674,POINT (-73.953674 40.822006),2024,8431.044025,9.039794492
"138 St-Grand Concourse (4,5)",391,Bronx,40.813225,-73.92985,POINT (-73.92985 40.813225),2023,2575.525641,7.85419712
