station_complex_id,station_complex_name,buffer_area_sqmi,pop_density_0p5mi,pop_rank,population_0p5mi,population_access_network,jobs_access_network,landuse_entropy_0p5mi,landuse_entropy_relative_0p5mi,landuse_simpson_0p5mi,landuse_k_categories_0p5mi,intersection_count_0p5mi,intersection_density_0p5mi,citibike_count_0p5mi,pct_hh_no_vehicle_access_network,median_hh_income_access_network,pct_car_truck_van_access_network,pct_transit_access_network,pct_taxicab_access_network,pct_bicycle_access_network,pct_walked_access_network,pct_other_means_access_network,pct_wfh_access_network,avg_bg_median_hh_income_access_network,bus_routes_access_network,subway_lines_access_network,commuter_lines_access_network,dist_to_commuter_stop_ft_network,dist_to_commuter_stop_mi_network,has_commuter_stop_within_1mi_network,transfer_subway_station_complexes_0p25mi_network,transfer_subway_station_complexes_0p10mi_network,has_subway_station_complex_within_1mi_network,dist_to_subway_station_complex_ft_network,dist_to_subway_station_complex_mi_network,is_ibx_planned,peak_tph_bidir,midday_tph_bidir,peak_tph_perdir,midday_tph_perdir,subway_lines_serving_station,is_terminal_subway,has_university_0p25mi,has_university_0p5mi,has_hospital_0p25mi,has_hospital_0p5mi,has_stadium_0p1mi,cultural_count_0p25mi,cultural_count_0p5mi,has_cultural_0p25mi,cultural_count_0p25mi_capped10,cultural_count_0p25mi_log1p,has_cultural_0p5mi,cultural_count_0p5mi_capped10,cultural_count_0p5mi_log1p,adjacent_major_park_0p25mi,adjacent_major_park_0p5mi,subway_trips_per_hour_am_peak,avg_headway_min_am_peak
293,Van Cortlandt Park-242 St (1),0.784137123,21362,411,16751,11547,4046,1.576416256,0.657416641,0.682475433,11,371,473.1315344,9,35.64913849,81859.8859,31.5525175,47.54457981,1.082873845,0.318553099,7.001991559,0.805858111,7.571542143,77016,11,1,0,,,0,0,0,0,0,0,0,0,0,,,0,0,1,1,0,0,0,1,1,1,1,0.693147181,1,1,0.693147181,1,1,43.33,1.5
294,238 St (1),0.784137123,39234,322,30765,23858,5524,2.03586765,0.849022755,0.839954566,11,445,567.5027838,18,35.97167804,84209.77843,30.18277695,47.99016419,1.511997261,0.568018748,5.784740025,1.132015911,7.015901343,85469,11,1,1,4876.125597,0.923508636,1,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,4,0,0,0,1,4,1.609437912,1,1,46.33,1.25
295,231 St (1),0.784137123,55807,189,43760,17617,2972,2.04220241,0.851664555,0.841080178,11,483,615.9636957,21,24.60741805,55388.14695,20.40548322,58.59641638,1.387532746,1.314499244,6.640499384,1.758671854,5.645252005,54883,16,1,1,2659.89409,0.50376782,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,3,1,1,0.693147181,1,3,1.386294361,0,0,45.67,1
296,Marble Hill-225 St (1),0.784137123,49359,237,38704,16840,4166,2.241515982,0.934784771,0.87831444,11,437,557.3004866,18,20.05517874,51752.81206,16.55736428,63.30328783,1.136933455,1.346062515,6.62281374,1.654474414,5.678076889,53493,16,2,1,1449.111861,0.274453004,1,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,1,6,1,1,0.693147181,1,6,1.945910149,0,1,46.33,1
297,215 St (1),0.784137123,37445,334,29362,10126,1540,2.047247853,0.853768668,0.832655118,11,269,343.0522446,13,13.79923143,59406.06916,10.36677958,64.14285228,1.279135395,0.413749473,10.67212612,1.134028232,8.137796479,58328,12,2,1,3882.44977,0.735312457,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,8,15,1,8,2.197224577,1,10,2.772588722,0,1,46.33,1
298,207 St (1),0.784137123,61989,137,48608,12683,1597,2.129959783,0.888262222,0.859116771,11,404,515.2160105,18,11.98699726,59193.46071,8.745739258,66.93658347,0.871614522,0.206483718,10.79233622,0.965849758,7.933423464,59640,11,2,0,2081.823977,0.394284844,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,3,18,1,3,1.386294361,1,10,2.944438979,0,1,47,1
299,Dyckman St (1),0.784137123,81310,55,63758,15000,2080,1.963544909,0.818861829,0.824003451,11,401,511.390149,20,11.36598968,55649.05886,8.185570975,68.08985528,0.844244436,0.267045594,10.78224175,0.882208368,7.656394249,55320,15,2,0,4092.373608,0.775070759,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,5,17,1,5,1.791759469,1,10,2.890371758,1,1,46.67,1.5
300,191 St (1),0.784137123,85922,45,67375,17607,2959,1.880147296,0.784082323,0.821490089,11,406,517.7665848,19,11.74149112,59403.50174,7.901850276,68.2752752,0.518890151,0.427199604,10.64536801,0.864085917,7.496233111,61865,16,2,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,6,25,1,6,1.945910149,1,10,3.258096538,1,1,47,1
301,181 St (1),0.784137123,99526,19,78042,21774,4965,1.910275953,0.796646949,0.825184927,11,798,1017.679149,18,13.03179166,60325.66974,8.782728305,66.55657494,0.486591562,0.569684647,10.8871903,0.939987134,7.478734282,64756,15,3,0,,,0,0,0,0,0,0,0,17,16,8.5,8,1,1,1,1,0,0,0,16,39,1,10,2.833213344,1,10,3.688879454,1,1,46.33,1
605,"168 St-Washington Hts (1,A,C)",0.784137123,80830,57,63382,18136,2329,1.696153105,0.736629934,0.754011412,10,472,601.935537,17,12.9403311,50624.22249,8.495539402,66.61194304,0.39957631,0.778157745,12.2210317,0.505416848,6.441866567,57375,15,3,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,6,18,1,6,1.945910149,1,10,2.944438979,1,1,71.67,1
