stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,station_complex_id,complex_stop_name,complex_display_name,constituent_station_names,station_ids,borough,cbd,daytime_routes,structure_type,complex_latitude,complex_longitude,ada,ada_notes,is_ibx,station_complex_name,station_complex_lat,station_complex_lon
101,Van Cortlandt Park-242 St,40.889248,-73.898583,1,,293.0,Van Cortlandt Park-242 St,Van Cortlandt Park-242 St (1),Van Cortlandt Park-242 St,293,Bx,False,1,Elevated,40.889248,-73.898583,0.0,,False,Van Cortlandt Park-242 St (1),40.889248,-73.898583
101N,Van Cortlandt Park-242 St,40.889248,-73.898583,0,101,,,,,,,,,,,,,,False,Van Cortlandt Park-242 St,,
101S,Van Cortlandt Park-242 St,40.889248,-73.898583,0,101,,,,,,,,,,,,,,False,Van Cortlandt Park-242 St,,
103,238 St,40.884667,-73.90087,1,,294.0,238 St,238 St (1),238 St,294,Bx,False,1,Elevated,40.884667,-73.90087,0.0,,False,238 St (1),40.884667,-73.90087
103N,238 St,40.884667,-73.90087,0,103,,,,,,,,,,,,,,False,238 St,,
103S,238 St,40.884667,-73.90087,0,103,,,,,,,,,,,,,,False,238 St,,
104,231 St,40.878856,-73.904834,1,,295.0,231 St,231 St (1),231 St,295,Bx,False,1,Elevated,40.878856,-73.904834,1.0,,False,231 St (1),40.878856,-73.904834
104N,231 St,40.878856,-73.904834,0,104,,,,,,,,,,,,,,False,231 St,,
104S,231 St,40.878856,-73.904834,0,104,,,,,,,,,,,,,,False,231 St,,
106,Marble Hill-225 St,40.874561,-73.909831,1,,296.0,Marble Hill-225 St,Marble Hill-225 St (1),Marble Hill-225 St,296,M,False,1,Elevated,40.874561,-73.909831,0.0,,False,Marble Hill-225 St (1),40.874561,-73.909831
106N,Marble Hill-225 St,40.874561,-73.909831,0,106,,,,,,,,,,,,,,False,Marble Hill-225 St,,
106S,Marble Hill-225 St,40.874561,-73.909831,0,106,,,,,,,,,,,,,,False,Marble Hill-225 St,,
107,215 St,40.869444,-73.915279,1,,297.0,215 St,215 St (1),215 St,297,M,False,1,Elevated,40.869444,-73.915279,0.0,,False,215 St (1),40.869444,-73.915279
